state,energy[kWh/m2],energy[kWh]
"(0, 0, 0)",165.7264,41772.996384000005
"(0, 0, 1)",166.13520000000003,41876.03851200001
"(0, 0, 2)",166.5412,41978.374872
"(0, 1, 0)",169.1704,42641.091024
"(0, 1, 1)",169.57360000000003,42742.72161600001
"(0, 1, 2)",169.9768,42844.352208
"(0, 2, 0)",172.80200000000002,43556.472120000006
"(0, 2, 1)",173.19960000000003,43656.69117600001
"(0, 2, 2)",173.59720000000002,43756.910232
"(1, 0, 0)",166.3956,41941.674936
"(1, 0, 1)",166.80440000000002,42044.717064000004
"(1, 0, 2)",167.2104,42147.053424
"(1, 1, 0)",169.8368,42809.063808000006
"(1, 1, 1)",170.23720000000003,42909.98863200001
"(1, 1, 2)",170.6404,43011.619224
"(1, 2, 0)",173.46280000000002,43723.033368000004
"(1, 2, 1)",173.8604,43823.252424
"(1, 2, 2)",174.258,43923.47148
"(2, 0, 0)",167.12920000000003,42126.586152
"(2, 0, 1)",167.53520000000003,42228.92251200001
"(2, 0, 2)",167.9412,42331.258872000006
"(2, 1, 0)",170.56480000000002,42992.56348800001
"(2, 1, 1)",170.96520000000004,43093.48831200001
"(2, 1, 2)",171.3684,43195.118904
"(2, 2, 0)",174.18800000000002,43905.827280000005
"(2, 2, 1)",174.5856,44006.046336
"(2, 2, 2)",174.9804,44105.559624
