state,energy[kWh/m2],energy[kWh]
"(1, 1, 1, 1)",200.3568,26777.68632
"(1, 1, 1, 2)",202.96920000000003,27126.833580000006
"(1, 1, 1, 3)",205.1756,27421.718940000002
"(1, 1, 2, 1)",202.342,27043.0083
"(1, 1, 2, 2)",204.9376,27389.91024
"(1, 1, 2, 3)",207.12720000000002,27682.550280000003
"(1, 1, 3, 1)",203.994,27263.7981
"(1, 1, 3, 2)",206.57840000000002,27609.203160000005
"(1, 1, 3, 3)",208.75400000000002,27899.972100000003
"(1, 2, 1, 1)",205.3604,27446.41746
"(1, 2, 1, 2)",207.9504,27792.57096
"(1, 2, 1, 3)",210.13440000000003,28084.462560000004
"(1, 2, 2, 1)",207.30640000000002,27706.500360000005
"(1, 2, 2, 2)",209.87960000000004,28050.408540000008
"(1, 2, 2, 3)",212.04680000000002,28340.054820000005
"(1, 2, 3, 1)",208.9248,27922.79952
"(1, 2, 3, 2)",211.48680000000002,28265.210820000004
"(1, 2, 3, 3)",213.64000000000001,28552.986000000004
"(1, 3, 1, 1)",209.65000000000003,28019.722500000007
"(1, 3, 1, 2)",212.2176,28362.882240000003
"(1, 3, 1, 3)",214.3848,28652.528520000003
"(1, 3, 2, 1)",211.55960000000005,28274.940540000007
"(1, 3, 2, 2)",214.11600000000004,28616.603400000007
"(1, 3, 2, 3)",216.26360000000003,28903.630140000005
"(1, 3, 3, 1)",213.1528,28487.871720000003
"(1, 3, 3, 2)",215.69520000000003,28827.663480000007
"(1, 3, 3, 3)",217.83160000000004,29113.193340000005
"(2, 1, 1, 1)",201.1492,26883.590580000004
"(2, 1, 1, 2)",203.76160000000002,27232.73784
"(2, 1, 1, 3)",205.96800000000002,27527.6232
"(2, 1, 2, 1)",203.12600000000003,27147.789900000007
"(2, 1, 2, 2)",205.72160000000002,27494.691840000003
"(2, 1, 2, 3)",207.9112,27787.33188
"(2, 1, 3, 1)",204.77240000000003,27367.831260000006
"(2, 1, 3, 2)",207.354,27712.862100000002
"(2, 1, 3, 3)",209.52960000000004,28003.631040000007
"(2, 2, 1, 1)",206.14440000000002,27551.199060000003
"(2, 2, 1, 2)",208.73440000000002,27897.352560000003
"(2, 2, 1, 3)",210.91840000000002,28189.244160000002
"(2, 2, 2, 1)",208.08200000000002,27810.159300000003
"(2, 2, 2, 2)",210.65520000000004,28154.067480000005
"(2, 2, 2, 3)",212.82240000000004,28443.713760000006
"(2, 2, 3, 1)",209.69480000000001,28025.710020000002
"(2, 2, 3, 2)",212.2568,28368.121320000002
"(2, 2, 3, 3)",214.41000000000003,28655.896500000006
"(2, 3, 1, 1)",210.4256,28123.38144
"(2, 3, 1, 2)",212.99600000000004,28466.915400000005
"(2, 3, 1, 3)",215.16320000000005,28756.561680000006
"(2, 3, 2, 1)",212.32960000000003,28377.851040000005
"(2, 3, 2, 2)",214.88320000000004,28719.139680000008
"(2, 3, 2, 3)",217.03360000000004,29006.540640000007
"(2, 3, 3, 1)",213.91440000000003,28589.659560000004
"(2, 3, 3, 2)",216.45960000000002,28929.825540000005
"(2, 3, 3, 3)",218.59320000000002,29214.981180000006
"(3, 1, 1, 1)",201.79600000000002,26970.035400000004
"(3, 1, 1, 2)",204.4084,27319.182660000002
"(3, 1, 1, 3)",206.6148,27614.068020000002
"(3, 1, 2, 1)",203.76440000000002,27233.112060000003
"(3, 1, 2, 2)",206.36280000000002,27580.388220000004
"(3, 1, 2, 3)",208.55240000000003,27873.028260000006
"(3, 1, 3, 1)",205.40520000000004,27452.404980000007
"(3, 1, 3, 2)",207.98960000000002,27797.810040000004
"(3, 1, 3, 3)",210.16520000000003,28088.578980000006
"(3, 2, 1, 1)",206.78560000000002,27636.895440000004
"(3, 2, 1, 2)",209.3728,27982.674720000003
"(3, 2, 1, 3)",211.55960000000005,28274.940540000007
"(3, 2, 2, 1)",208.7148,27894.73302
"(3, 2, 2, 2)",211.28800000000004,28238.641200000005
"(3, 2, 2, 3)",213.45520000000002,28528.287480000003
"(3, 2, 3, 1)",210.322,28109.535300000003
"(3, 2, 3, 2)",212.88400000000001,28451.946600000003
"(3, 2, 3, 3)",215.0372,28739.721780000003
"(3, 3, 1, 1)",211.0612,28208.329380000003
"(3, 3, 1, 2)",213.62880000000004,28551.489120000006
"(3, 3, 1, 3)",215.79600000000002,28841.135400000003
"(3, 3, 2, 1)",212.95680000000002,28461.676320000002
"(3, 3, 2, 2)",215.51320000000004,28803.339180000006
"(3, 3, 2, 3)",217.66080000000002,29090.365920000004
"(3, 3, 3, 1)",214.53880000000004,28673.110620000007
"(3, 3, 3, 2)",217.08120000000002,29012.902380000003
"(3, 3, 3, 3)",219.2176,29298.432240000002
